Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
fresiipower,https://www.instagram.com/fresiipower,Si,25/09/20,,49900,Beauty,Model,,0.05,0.42,0.58,0.00,0.17,0.48,0.24,0.07,0.01,0.01,0.01,0.33,0.51,0.10,0.03,0.00,0.00,0.72,0.28,0,,,
fruticienta,https://www.instagram.com/fruticienta,Si,21/11/19,mami.make.up,59000,Beauty,,,0.01,0.04,0.96,0.00,0.08,0.43,0.35,0.10,0.03,0.01,0.00,0.08,0.43,0.35,0.10,0.03,0.01,0.90,0.10,,,,
giggsymakeup,https://www.instagram.com/giggsymakeup,No,12/26/2018,paulinacocina,45100,Beauty,,,0.01,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.65,0.35,0,,,
giggsymakeup tk,https://www.tiktok.com/@giggsymakeup,No,9/2/2021,giggsymakeup,16400,Beauty,,,,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.65,0.35,,,,
I.Bermejo,https://www.instagram.com/I.Bermejo,No,5/6/2019,asanacosmetologia,20900,Beauty,,,0.01,0.15,0.85,0.04,0.25,0.40,0.20,0.08,0.02,0.01,0.01,0.14,0.54,0.22,0.06,0.02,0.01,0.80,0.20,,,,
impagliazzopeluqueria,https://www.instagram.com/impagliazzopeluqueria/,No,7/13/2021,malapeluqueria,1573,Beauty,,,0.04,0.07,0.93,0.05,0.32,0.37,0.17,0.06,0.02,0.01,0.05,0.32,0.39,0.16,0.05,0.02,0.01,0.87,0.13,,,,
inesmartmakeup,https://www.instagram.com/inesmartmakeup,SI,3/6/2019,,10450,Beauty,,,0.03,0.08,0.92,0.02,0.15,0.31,0.31,0.15,0.04,0.02,0.00,0.11,0.38,0.36,0.11,0.03,0.01,0.90,0.10,0,,,
irenearcieri,https://www.instagram.com/irenearcieri,Si,24/09/20,,23600,Beauty,,,0.02,0.07,0.93,0.01,0.08,0.32,0.36,0.17,0.04,0.01,0.00,0.05,0.35,0.39,0.16,0.03,0.01,0.94,0.06,0,,,
ivanaudrizar,https://www.instagram.com/ivanaudrizar,Si,26/10/20,,53000,Beauty,LifeStyle,,0.01,0.32,0.68,0.01,0.20,0.42,0.25,0.09,0.02,0.01,0.02,0.25,0.38,0.21,0.10,0.04,0.01,0.88,0.12,,,,
joaquintorres89,https://www.instagram.com/joaquintorres89,No,8/23/2022,joacovqz,6100,Beauty,,,0.02,0.09,0.91,0.03,0.39,0.41,0.11,0.04,0.01,0.01,0.04,0.32,0.42,0.15,0.05,0.01,0.01,0.93,0.07,,,,
jowimakeup,https://www.instagram.com/jowimakeup,Parcial,8/2/2022,,30700,Beauty,,,0.01,0.04,0.96,0.03,0.17,0.49,0.22,0.07,0.03,-0.01,0.03,0.17,0.49,0.22,0.07,0.03,-0.01,0.87,0.13,,,,
juanmacativa,https://www.instagram.com/juanmacativa,Parcial,7/18/2018,malapeluqueria,71901,beauty,,,0.00,0.14,0.86,0.05,0.32,0.37,0.17,0.06,0.02,0.01,0.05,0.32,0.39,0.16,0.05,0.02,0.01,0.87,0.13,0,,,
juicymakeup,https://www.instagram.com/juicymakeup,Si,10/7/2018,,120000,Beauty,,,0.01,0.10,0.90,0.01,0.15,0.34,0.28,0.12,0.04,0.06,0.00,0.13,0.36,0.32,0.13,0.04,0.02,0.92,0.08,0,si,no,no
kahlemakeup,https://www.instagram.com/kahlemakeup,No,12/26/2018,agus.santamarinamakeup,118000,Beauty,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
kahlo.estetica,https://www.instagram.com/kahlo.estetica,No,5/6/2019,elblogdenatt,5072,Beauty,,,0.01,0.08,0.92,0.04,0.31,0.37,0.18,0.06,0.02,0.02,0.00,0.10,0.44,0.34,0.09,0.02,0.01,0.86,0.14,,,,
kareninalukoski,https://www.instagram.com/kareninalukoski,Si,27-11-20,,28400,Beauty,,,0.01,0.07,0.93,0.01,0.19,0.44,0.24,0.08,0.02,0.02,0.01,0.17,0.49,0.24,0.07,0.02,0.00,0.91,0.09,0,,,
kathypimpa,https://www.instagram.com/kathypimpa,Si,8/8/2022,,141000,Beauty,,,0.02,0.21,0.79,0.07,0.50,0.28,0.09,0.04,0.01,0.01,0.03,0.28,0.39,0.20,0.07,0.02,0.01,0.61,0.39,,,,
krazymalena,https://www.instagram.com/krazymalena,No,3/8/2022,sarapereyrairaola,13000,Beauty,,,0.07,0.12,0.88,0.02,0.34,0.34,0.12,0.09,0.05,0.04,0.00,0.20,0.27,0.23,0.15,0.03,0.12,0.86,0.14,,,,
lachinabuenosaires,https://www.instagram.com/lachinabuenosaires,Si,6/8/2020,,41800,Beauty,Fashion,,0.04,0.04,0.96,0.00,0.13,0.50,0.23,0.09,0.02,0.01,0.01,0.16,0.54,0.20,0.05,0.01,0.00,0.92,0.18,,,,
lacoquettenovias,https://www.instagram.com/lacoquettenovias,Si,29/03/2020,,30828,Beauty,,,0.02,0.04,0.96,0.02,0.12,0.41,0.29,0.11,0.04,0.01,0.00,0.15,0.55,0.23,0.05,0.01,0.01,0.79,0.21,,,,
lalicrespomakeup,https://www.instagram.com/lalicrespomakeup/,Parcial,9/14/2022,rango todos,19700,Beauty,,,0.03,0.05,0.95,0.03,0.26,0.48,0.17,0.05,0.01,0.01,0.03,0.26,0.48,0.17,0.05,0.01,0.01,0.91,0.09,,,,
lauhachebeauty,https://www.instagram.com/lauhachebeauty,Si,6/7/2019,,21332,Beauty,,,0.01,0.06,0.94,0.01,0.17,0.41,0.25,0.10,0.04,0.02,0.01,0.19,0.46,0.24,0.07,0.02,0.01,0.90,0.10,0,,,
lautaroferrante.mkp TK,https://www.instagram.com/lautaroferrante.mkp TK,No,8/24/2022,makeupbylautaro,14300,Beauty,,,0.02,0.08,0.92,0.04,0.31,0.37,0.18,0.06,0.02,0.02,0.00,0.10,0.44,0.34,0.09,0.02,0.01,0.86,0.14,,,,
ledesmacaloso,https://www.instagram.com/ledesmacaloso,Si,24/09/20,,11500,Beauty,,,0.03,0.05,0.95,0.00,0.14,0.39,0.29,0.12,0.03,0.01,0.00,0.18,0.46,0.25,0.07,0.01,0.00,0.90,0.10,,,,
lic.danielita,https://www.instagram.com/lic.danielita,Si,23/04/20,,48200,Beauty,,,1.40,0.06,0.94,0.01,0.22,0.40,0.20,0.10,0.03,0.04,0.02,0.28,0.37,0.19,0.07,0.02,0.05,0.88,0.12,,,,
lodevay,https://www.instagram.com/lodevay,Parcial,8/18/2022,,42500,Beauty,,,0.04,0.04,0.96,0.02,0.23,0.40,0.19,0.09,0.03,0.04,0.03,0.35,0.42,0.12,0.04,0.00,0.00,0.87,0.13,,,,
lomakeup,https://www.instagram.com/lomakeup,No,12/26/2018,agus.santamarinamakeup,108000,Beauty,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
lucasponti,https://www.instagram.com/lucasponti,No,5/6/2019,dra.leisamolinari,129000,Beauty,,,0.06,0.06,0.94,0.00,0.16,0.40,0.27,0.08,0.03,0.06,0.00,0.18,0.45,0.23,0.07,0.02,0.05,0.90,0.10,,,,
lucianumer,https://www.instagram.com/lucianumer,No,1/10/2019,agus.santamarinamakeup,57600,Beauty,,,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
lucilismo,https://www.instagram.com/lucilismo,No,2/7/2019,mami.make.up,35700,Beauty,Moms,,0.03,0.20,0.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
luisa.makeup,https://www.instagram.com/luisa.makeup,Si,3/12/2021,,10300,Beauty,,,0.03,0.10,0.90,0.01,0.21,0.51,0.16,0.08,0.01,0.02,0.01,0.24,0.53,0.14,0.06,0.02,0.00,0.90,0.10,,,,
luliharg,https://www.instagram.com/luliharg,Parcial,9/20/2022,rango todos,65900,Beauty,,,0.01,0.19,0.81,#N/A,0.35,0.42,0.12,0.05,0.01,#N/A,0.01,0.35,0.42,0.12,0.05,0.01,0.04,0.08,0.92,,,,
magamaiztegui,https://www.instagram.com/magamaiztegui,No,1/15/2019,natiblattmakeup,8744,Beauty,Fashion,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
magda.bossi,https://www.instagram.com/magda.bossi,No,28/11/2018,soydadatina,14000,Beauty,,,0.06,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
makeupbylautaro,https://www.instagram.com/makeupbylautaro,No,7/21/2019,ELBLOGdenatt,67500,Beauty,,,0.03,0.08,0.92,0.04,0.31,0.37,0.18,0.06,0.02,0.02,0.00,0.10,0.44,0.34,0.09,0.02,0.01,0.86,0.14,,,,
makeupmullins,https://www.instagram.com/makeupmullins/,No,12/28/2021,delfipignatiello,12900,Beauty,,,0.03,0.77,0.23,0.04,0.32,0.43,0.15,0.05,0.01,0.01,0.07,0.36,0.36,0.13,0.06,0.02,0.01,0.86,0.14,,,,
malapeluqueria,https://www.instagram.com/malapeluqueria,Parcial,7/18/2018,paulachaves,319000,beauty,,,0.00,0.07,0.93,0.05,0.32,0.37,0.17,0.06,0.02,0.01,0.05,0.32,0.39,0.16,0.05,0.02,0.01,0.87,0.13,0,,,
mami.make.up,https://www.instagram.com/mami.make.up,Parcial,1/16/2019,agus.santamarinamakeup,43388,Beauty,,,0.06,0.20,0.80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
mar_castelli,https://www.instagram.com/mar_castelli,No,8/6/2020,miucciamakeup,67961,Beauty,,,"2,6%",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
mariaguillermi,https://www.instagram.com/mariaguillermi,Si,4/11/2021,lachinabuenosaires,31800,Beauty,,,0.02,0.01,0.99,0.00,0.09,0.44,0.32,0.09,0.04,0.02,0.00,0.09,0.49,0.31,0.08,0.02,0.01,0.89,0.11,,,,
martupedia,https://www.instagram.com/martupedia,Si,24/09/20,,36000,Beauty,,,0.02,0.02,0.98,0.01,0.25,0.45,0.16,0.06,0.05,0.01,0.00,0.29,0.48,0.16,0.04,0.01,0.00,0.97,0.13,,,,
maytecanosa YT,https://www.youtube.com/results?search_query=maytecanosa,No,,,257000,Beauty,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
melinaaquiroga,https://www.instagram.com/melinaaquiroga,Si,3/12/2019,juliberea,73900,Beauty,,,0.05,#N/A,#N/A,0.03,0.37,0.39,0.13,0.06,0.01,0.01,0.06,0.53,0.31,0.07,0.02,0.00,0.01,0.42,0.58,,,,
melinaaquirogayt,https://www.instagram.com/melinaaquirogayt,No,4/29/2019,melinaaquiroga,623000,Beauty,,,0.01,#N/A,#N/A,0.03,0.37,0.39,0.13,0.06,0.01,0.01,0.06,0.53,0.31,0.07,0.02,0.00,0.01,0.42,0.58,,,,
melodywat,https://www.instagram.com/melodywat,No,27/8/19,elblogdenatt,16500,Beauty,,,0.03,0.08,0.92,0.04,0.31,0.37,0.18,0.06,0.02,0.02,0.00,0.10,0.44,0.34,0.09,0.02,0.01,0.86,0.14,,,,
melsoldo,https://www.instagram.com/melsoldo,No,6/19/2019,kahlemakeup,111000,Beauty,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,,,,
memaquillayami,https://www.instagram.com/memaquillayami,Si,26/10/20,,20100,Beauty,,,0.05,0.04,0.96,0.01,0.22,0.38,0.22,0.11,0.05,0.02,0.02,0.34,0.42,0.13,0.06,0.01,0.01,0.96,0.04,,,,
micumendez.mkp,https://www.instagram.com/micumendez.mkp/,No,12/28/2021,cruz.fleurplume,59000,Beauty,,,0.04,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
milicarreremakeup,https://www.instagram.com/milicarreremakeup,Parcial,9/21/2022,rango etario todos,22900,Beauty,,,0.02,0.01,0.99,0.02,0.29,0.35,0.18,0.11,0.04,0.01,0.02,0.29,0.35,0.18,0.11,0.04,0.01,0.97,0.04,,,,
miucciamua,https://www.instagram.com/miucciamua,No,8/18/2022,claratrillo,52500,Beauty,,,0.03,0.04,0.96,0.01,0.27,0.39,0.19,0.09,0.03,0.02,0.01,0.18,0.35,0.25,0.15,0.06,0.01,0.95,0.05,,,,
miucciamua TK,https://www.tiktok.com/@miucciamua,No,5/4/2022,miucciamua,8000,Beauty,,,0.02,0.04,0.96,0.01,0.27,0.39,0.19,0.09,0.03,0.02,0.01,0.18,0.35,0.25,0.15,0.06,0.01,0.95,0.05,,,,
MIUKAUNDERGROUND,https://www.instagram.com/MIUKAUNDERGROUND,No,6/19/2019,lizytagliani,9904,Beauty,,,0.08,0.18,0.82,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.84,0.16,,,,
mixtasysensibles,https://www.instagram.com/mixtasysensibles/,No,12/28/2021,soydadatina,18600,Beauty,,,0.04,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
muynosotrasok,https://www.instagram.com/muynosotrasok,Si,26/10/20,,42300,Beauty,Fashion,,0.02,0.13,0.87,0.01,0.20,0.40,0.23,0.10,0.04,0.03,0.01,0.09,0.34,0.35,0.15,0.06,0.01,0.91,0.09,,,,
nadiapres_makeup,https://www.instagram.com/nadiapres_makeup,No,5/10/2020,kareninalukoski,25700,Beauty,,,"5,57%",0.07,0.93,0.01,0.19,0.44,0.24,0.08,0.02,0.02,0.01,0.17,0.49,0.24,0.07,0.02,0.00,0.91,0.09,,,,
nanu.makeup,https://www.instagram.com/nanu.makeup,No,27/8/19,sol.marcer,44400,Beauty,,,0.04,0.07,0.93,0.01,0.24,0.43,0.18,0.07,0.03,0.04,0.01,0.32,0.44,0.14,0.04,0.01,0.04,0.89,0.11,,,,
natiblattmakeup,https://www.instagram.com/natiblattmakeup,No,12/26/2018,agus.santamarinamakeup,6104,Beauty,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
nickie.makeup,https://www.instagram.com/nickie.makeup,Si,24/09/20,,19900,Beauty,,,0.02,0.02,0.98,0.01,0.19,0.42,0.23,0.08,0.03,0.01,0.00,0.21,0.50,0.19,0.05,0.01,0.00,0.89,0.11,,,,
nicodenisi,https://www.instagram.com/nicodenisi,No,8/23/2022,joacovqz,8234,Beauty,,,0.03,0.09,0.91,0.03,0.39,0.41,0.11,0.04,0.01,0.01,0.04,0.32,0.42,0.15,0.05,0.01,0.01,0.93,0.07,,,,
nidiaperezr,https://www.instagram.com/nidiaperezr,Si,25/11/20,,10800,Beauty,,,0.03,0.17,0.83,0.01,0.18,0.43,0.20,0.13,0.04,0.01,0.01,0.23,0.38,0.19,0.14,0.04,0.01,0.94,0.06,,,,
niki.mayo,https://www.instagram.com/niki.mayo,No,1/15/2019,natiblattmakeup,19301,Beauty,Fashion,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
nooeayala,https://www.instagram.com/nooeayala,No,2/4/2019,monchieroeva,2712,Beauty,Model,,0.06,0.36,0.64,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.84,0.16,0,,,
ohmecha,https://www.instagram.com/ohmecha,No,16/12/2019,candelariatinelli,9088,Beauty,,,0.07,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
ohmytips.oficial,https://www.instagram.com/ohmytips.oficial,No,27/08/2019,vickybrea_mkp,17100,Beauty,,,0.03,0.06,0.94,0.01,0.12,0.45,0.29,0.09,0.03,0.01,0.01,0.19,0.55,0.18,0.05,0.02,0.00,0.92,0.08,,,,
pampitaoficial,https://www.instagram.com/pampitaoficial,Si,25-10-19,,6000000,Beauty,Fashion,,0.03,0.31,0.69,0.05,0.28,0.36,0.20,0.07,0.02,0.02,0.04,0.26,0.38,0.20,0.07,0.03,0.02,0.81,0.19,,,,
paodessaner,https://www.instagram.com/paodessaner,No,21/11/19,pereyrafabi,12300,Beauty,,,0.01,0.22,0.78,0.03,0.27,0.38,0.21,0.08,0.02,0.01,0.02,0.23,0.47,0.21,0.05,0.01,0.01,0.80,0.20,,,,
pathsanchez,https://www.instagram.com/pathsanchez,Si,27/10/20,,87200,Beauty,,,0.01,0.04,0.97,0.00,0.07,0.38,0.35,0.13,0.05,0.02,0.00,0.04,0.33,0.40,0.16,0.06,0.01,0.95,0.05,,,,
pazsykesmua,https://www.instagram.com/pazsykesmua,No,4/15/2019,_mariasol_,106000,Beauty,,,0.14,0.21,0.79,"1,5%",0.39,0.41,0.13,"3,9%","1,1%",0.07,"3,6%",0.58,0.30,"5,1%",0.02,"0,6%",0.10,0.74,0.26,,,,
pazsykesmua,https://www.instagram.com/pazsykesmua,No,7/21/2019,elblogdenatt,82000,Beauty,,,0.15,0.08,0.92,0.04,0.31,0.37,0.18,0.06,0.02,0.02,0.00,0.10,0.44,0.34,0.09,0.02,0.01,0.86,0.14,,,,
pereyrafabi,https://www.instagram.com/pereyrafabi,Si,6/4/2019,,37023,Beauty,,,0.02,0.22,0.78,0.03,0.27,0.38,0.21,0.08,0.02,0.01,0.02,0.23,0.47,0.21,0.05,0.01,0.01,0.80,0.20,0,,,
pilypegoraro,https://www.instagram.com/pilypegoraro,No,27/04/20,lulifernandezok,20431,Beauty,LifeStyle,,"0,6%",0.21,0.79,0.02,0.17,0.42,0.26,0.09,0.02,0.02,0.01,0.18,0.47,0.24,0.07,0.02,0.01,0.87,0.13,,,,
reviews de beauty,https://www.instagram.com/reviews de beauty,No,3/18/2019,veveyblog,289000,Beauty,blogger,,0.02,0.05,0.95,0.00,0.03,0.30,0.45,0.16,0.05,0.02,0.00,0.03,0.30,0.45,0.16,0.05,0.02,0.90,0.10,0,,,
richcova,https://www.instagram.com/richcova,No,,paulinacocina,132000,Beauty,,,0.02,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.83,0.17,,,,
romina_romero,https://www.instagram.com/romina_romero,No,27/04/20,lacoquettenovias,30803,Beauty,,,0.01,0.04,0.96,0.02,0.12,0.41,0.29,0.11,0.04,0.01,0.00,0.15,0.55,0.23,0.05,0.01,0.01,0.79,0.21,,,,
sarapereyrairaola,https://www.instagram.com/sarapereyrairaola,Si,25/09/20,,22700,Beauty,,,0.03,0.12,0.88,0.02,0.34,0.34,0.12,0.09,0.05,0.03,0.00,0.20,0.27,0.23,0.15,0.03,0.01,0.86,0.14,0,,,
gorankaleniuk,https://www.instagram.com/gorankaleniuk/?hl=es,No,9/14/2022,manuelasaiz,29200,Humor,,,0.37,0.14,0.86,0.01,0.23,0.46,0.19,0.05,0.01,0.05,0.01,0.33,0.51,0.10,0.01,0.00,0.04,0.85,0.15,,,,
shemakeup_,https://www.instagram.com/shemakeup_,Si,20/08/20,,48000,Beauty,,,0.02,0.04,0.96,0.00,0.20,0.40,0.22,0.11,0.04,0.03,0.00,0.25,0.47,0.19,0.06,0.01,0.02,0.91,0.09,0,,,
simon.scarano,https://www.instagram.com/simon.scarano,Parcial,2/11/2022,rango todos,201000,Beauty,,,0.04,0.12,0.88,0.00,0.30,0.43,0.15,0.05,0.02,0.05,0.01,0.30,0.43,0.15,0.05,0.06,0.00,0.69,0.31,,,,
skincare.cult,https://www.instagram.com/skincare.cult,No,16/12/2019,belugarrido,34800,Beauty,,,0.03,0.07,0.93,0.01,0.17,0.42,0.25,0.10,0.04,0.01,0.00,0.23,0.50,0.20,0.06,0.01,0.00,0.93,0.07,,,,
sol.marcer,https://www.instagram.com/sol.marcer,Si,8/8/2022,,120977,Beauty,,,0.03,0.07,0.93,0.01,0.24,0.43,0.18,0.07,0.03,0.01,0.01,0.32,0.44,0.14,0.04,0.01,0.00,0.89,0.11,,,,
sol.marcer TK,https://www.instagram.com/sol.marcer TK,No,3/9/2022,sol.marcer,33800,Beauty,,,0.08,0.07,0.93,0.01,0.24,0.43,0.18,0.07,0.03,0.04,0.01,0.32,0.44,0.14,0.04,0.01,0.04,0.89,0.11,,,,
solegabastou_mkp,https://www.instagram.com/solegabastou_mkp,No,2/4/2019,agus.santamarinamakeup,2826,Beauty,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
soy.piel,https://www.instagram.com/soy.piel,Parcial,6/10/2022,rango etario todos,107828,Beauty,,,0.02,0.06,0.95,0.02,0.20,0.44,0.23,0.08,0.02,0.01,0.02,0.20,0.44,0.23,0.08,0.02,0.01,0.83,0.17,,,,
soyalmaok,https://www.instagram.com/soyalmaok,Si,5/15/2019,,108000,Beauty,Music,,0.12,#N/A,#N/A,0.12,0.42,0.30,0.10,0.04,0.01,0.01,0.13,0.39,0.26,0.13,0.06,0.01,0.02,#N/A,#N/A,,,,
soydadatina,https://www.instagram.com/soydadatina,No,1/27/2022,deniseromanook,549000,Beauty,,,0.02,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
soydadatina TK,https://www.instagram.com/soydadatina TK,No,1/27/2022,soydadatina,119200,Beauty,,,0.14,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
soymonchiblog,https://www.instagram.com/soymonchiblog,No,2/7/2019,agus.santamarinamakeup,17142,Beauty,Fashion,LifeStyle,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
soymonti_,https://www.instagram.com/soymonti_,No,8/8/2022,"anto.fossati

",23200,Beauty,,,0.03,0.02,0.98,0.01,0.29,0.49,0.14,0.05,0.02,0.00,0.01,0.29,0.49,0.14,0.05,0.02,0.00,0.94,0.06,,,,
soymonti_ TK,https://www.instagram.com/soymonti_ TK,No,3/8/2022,anto.fossati,1391,Beauty,,,0.12,0.01,0.99,0.01,0.21,0.47,0.18,0.09,0.03,0.02,0.01,0.22,0.51,0.19,0.06,0.02,0.01,0.90,0.10,,,,
sunshinecarreras,https://www.instagram.com/sunshinecarreras,Si,24/09/20,,11500,Beauty,,,0.03,0.11,0.89,0.01,0.14,0.37,0.30,0.12,0.03,0.01,0.01,0.13,0.45,0.28,0.08,0.02,0.01,0.89,0.11,,,,
tatywust,https://www.instagram.com/tatywust,Si,8/8/2022,,110000,Beauty,,,0.02,0.04,0.96,0.03,0.28,0.34,0.20,0.10,0.03,0.02,0.00,0.13,0.36,0.32,0.13,0.04,0.02,0.87,0.13,,,,
tepeinopuntocom,https://www.instagram.com/tepeinopuntocom,no,10/30/2018,agus.santamarinamakeup,11548,beauty,moms,,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
terediazcolodrero,https://www.instagram.com/terediazcolodrero,No,10/3/2022,tatywust,234000,Beauty,,,0.02,0.04,0.96,0.03,0.28,0.34,0.20,0.10,0.03,0.02,0.00,0.13,0.36,0.32,0.13,0.04,0.02,0.87,0.13,,,,
terediazcolodrero TK,https://www.instagram.com/terediazcolodrero TK,No,8/22/2022,terediazcolodrero,52500,Beauty,,,0.00,0.04,0.96,0.03,0.28,0.34,0.20,0.10,0.03,0.02,0.00,0.13,0.36,0.32,0.13,0.04,0.02,0.87,0.13,,,,
teresitaskinstudio,https://www.instagram.com/teresitaskinstudio,No,7/21/2019,beautypul_,141000,Beauty,,,0.01,0.02,0.98,#N/A,0.18,0.46,0.20,0.11,0.03,#N/A,0.00,0.20,0.50,0.20,0.06,0.02,0.02,0.88,0.12,,,,
tipascharm,https://www.instagram.com/tipascharm,No,11/8/2020,soydadatina,37200,Beauty,,,,0.04,0.96,0.01,0.20,0.49,0.22,0.06,0.01,0.01,0.01,0.21,0.50,0.21,0.05,0.01,0.01,0.94,0.06,,,,
valenandreanibeauty,https://www.instagram.com/valenandreanibeauty,Si,15/10/2020,,13200,Beauty,,,0.02,0.11,0.89,0.01,0.11,0.38,0.30,0.14,"4,1","1,6%","0,5%",0.16,0.45,0.26,"8,9%","2,8%","1,2%",0.92,0.08,,,,
vanebeautytips,https://www.instagram.com/vanebeautytips,Si,23/04/20,,28100,Beauty,,,0.05,0.04,0.96,0.00,0.19,0.35,0.18,0.13,0.07,0.08,0.00,0.02,0.13,0.27,0.34,0.17,0.07,0.89,0.11,,,,
vanessapaivamakeup,https://www.instagram.com/vanessapaivamakeup,No,21/27/2018,agus.santamarinamakeup,14743,Beauty,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
vicbeautyblogger,https://www.instagram.com/vicbeautyblogger,Si,13/08/2020,,48800,Beauty,,,0.03,0.03,0.97,0.00,0.18,0.41,0.23,0.10,0.03,0.01,0.00,0.20,0.45,0.22,0.07,0.02,0.01,0.86,0.14,,,,
vickybrea_mkp,https://www.instagram.com/vickybrea_mkp,Si,6/10/2019,,14600,Beauty,,,0.02,0.06,0.94,0.01,0.12,0.45,0.29,0.09,0.03,0.01,0.01,0.19,0.55,0.18,0.05,0.02,0.00,0.92,0.08,0,,,
vickylsmakeup,https://www.instagram.com/vickylsmakeup,SI,10/5/2022,,31900,Beauty,,,0.02,0.03,0.97,0.01,0.12,0.45,0.29,0.09,0.03,0.01,0.01,0.19,0.55,0.18,0.05,0.02,0.00,0.92,0.08,0,,,
